_id,title,description,release_date,genre,director,rating,cast[0].actor,cast[1].actor,cast[2].actor,cast[3].actor,cast[4].actor,cast[5].actor,cast[6].actor,cast[7].actor,cast[8].actor,cast[9].actor,cast[10].actor,cast[11].actor,cast[12].actor,cast[13].actor,cast[14].actor,cast[15].actor,cast[16].actor,cast[17].actor,cast[18].actor,cast[19].actor,cast[20].actor,cast[21].actor,cast[22].actor,cast[23].actor,cast[24].actor,cast[25].actor,cast[26].actor,cast[27].actor,cast[28].actor,cast[29].actor,cast[30].actor,cast[0].role,cast[1].role,cast[2].role,cast[3].role,cast[4].role,cast[5].role,cast[6].role,cast[7].role,cast[8].role,cast[9].role,cast[10].role,cast[11].role,cast[12].role,cast[13].role,cast[14].role,cast[15].role,cast[16].role,cast[17].role,cast[18].role,cast[19].role,cast[20].role,cast[21].role,cast[22].role,cast[23].role,cast[24].role,cast[25].role,cast[26].role,cast[27].role,cast[28].role,cast[29].role,cast[30].role,cast[0]._id,cast[1]._id,cast[2]._id,cast[3]._id,cast[4]._id,cast[5]._id,cast[6]._id,cast[7]._id,cast[8]._id,cast[9]._id,cast[10]._id,cast[11]._id,cast[12]._id,cast[13]._id,cast[14]._id,cast[15]._id,cast[16]._id,cast[17]._id,cast[18]._id,cast[19]._id,cast[20]._id,cast[21]._id,cast[22]._id,cast[23]._id,cast[24]._id,cast[25]._id,cast[26]._id,cast[27]._id,cast[28]._id,cast[29]._id,cast[30]._id,poster_url,is_deleted,__v,test_poster_url,language,banner_url,runtime,writer,trailer_url,view_count,created_at,updated_at,deleted_at
66a205db519ff3d289917bd0,Pathaan,An Indian agent battles ruthless mercenaries to protect his nation from a devastating threat.,2023-01-25T00:00:00.000Z,"Action, Thriller",Siddharth Anand,0,Shah Rukh Khan,Deepika Padukone,John Abraham,Dimple Kapadia,Ashutosh Rana,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,Role 4,Role 5,,,,,,,,,,,,,,,,,,,,,,,,,,,66a205db519ff3d289917bd1,66a205db519ff3d289917bd2,66a205db519ff3d289917bd3,66a205db519ff3d289917bd4,66a205db519ff3d289917bd5,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/1735896447234-pathaan-poster.jpg,true,0,,English,https://moviu.s3.us-east-1.amazonaws.com/movies/1735896449337-pathaan-poster.jpg,08:02,Pathan Writer,,,,,
66a205fc519ff3d289917bd7,Thor,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",2011-05-06T00:00:00.000Z,"Action, Adventure, Fantasy",Kenneth Branagh,7,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,Stellan Skarsgård,Kat Dennings,,,,,,,,,,,,,,,,,,,,,,,,,,Thor,Jane Foster,Loki,Odin,Erik Selvig,Darcy Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,66a205fc519ff3d289917bd8,66a205fc519ff3d289917bd9,66a205fc519ff3d289917bda,66a205fc519ff3d289917bdb,66a205fc519ff3d289917bdc,66a205fc519ff3d289917bdd,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/thor-poster.jpg,true,0,thor-poster.jpg,English,,,,,,,,
66a2062f519ff3d289917bdf,Black To The Future,"A young African-American scientist discovers a way to travel through time and uses it to explore significant moments in black history, aiming to change the present for the better.",2023-07-15T00:00:00.000Z,"Sci-Fi, Adventure, Drama",Ava DuVernay,8.2,John Boyega,Lupita Nyong'o,Chadwick Boseman,Viola Davis,Michael B. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Marcus Brown,Amara Johnson,Professor Williams,Dr. Eleanor Reed,Agent Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,66a2062f519ff3d289917be0,66a2062f519ff3d289917be1,66a2062f519ff3d289917be2,66a2062f519ff3d289917be3,66a2062f519ff3d289917be4,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/blacktothefuture-poster.jpg,true,0,blacktothefuture-poster.jpg,English,,,,,,,,
66a2068b519ff3d289917be6,Polis,"In a dystopian future city, a detective embarks on a mission to uncover the truth behind a series of mysterious disappearances, leading him into a web of political intrigue and corruption.",2022-09-10T00:00:00.000Z,"Sci-Fi, Thriller",Jane Doe,7.9,John Smith,Emily Clark,Michael Green,Laura Brown,David Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,Detective Harris,Dr. Sylvia,Mayor Johnson,Agent Carter,Chief Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,,66a2068b519ff3d289917be7,66a2068b519ff3d289917be8,66a2068b519ff3d289917be9,66a2068b519ff3d289917bea,66a2068b519ff3d289917beb,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/polis-poster.jpg,true,0,polis-poster.jpg,English,,,,,,,,
66a206b3519ff3d289917bed,Thriller Movies,"A compilation of edge-of-your-seat thriller stories that explore the darkest corners of the human psyche, featuring multiple tales of suspense, fear, and unexpected twists.",2021-10-31T00:00:00.000Z,"Thriller, Horror, Anthology",Various Directors,6.8,Mia Johnson,Liam Smith,Sophia Davis,James Brown,Isabella Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,Anna (Segment 1),Detective Morgan (Segment 2),Clara (Segment 3),Henry (Segment 4),Evelyn (Segment 5),,,,,,,,,,,,,,,,,,,,,,,,,,,66a206b3519ff3d289917bee,66a206b3519ff3d289917bef,66a206b3519ff3d289917bf0,66a206b3519ff3d289917bf1,66a206b3519ff3d289917bf2,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/thrillermovies-poster.jpg,true,0,thrillermovies-poster.jpg,English,,,,,,,,
66a20702519ff3d289917bf4,Uncharted,Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor 'Sully' Sullivan to recover a fortune amassed by Ferdinand Magellan and lost 500 years ago by the House of Moncada.,2022-02-18T00:00:00.000Z,"Action, Adventure",Ruben Fleischer,6.7,Tom Holland,Mark Wahlberg,Sophia Ali,Tati Gabrielle,Antonio Banderas,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathan Drake,Victor 'Sully' Sullivan,Chloe Frazer,Braddock,Santiago Moncada,,,,,,,,,,,,,,,,,,,,,,,,,,,66a20702519ff3d289917bf5,66a20702519ff3d289917bf6,66a20702519ff3d289917bf7,66a20702519ff3d289917bf8,66a20702519ff3d289917bf9,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/uncharted-poster.jpg,true,0,uncharted-poster.jpg,English,,,,,,,,
66a2072e519ff3d289917bfb,Three Thousand Years Of Longing,"A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom.",2022-08-31T00:00:00.000Z,"Drama, Fantasy, Romance",George Miller,6.9,Tilda Swinton,Idris Elba,Erdil Yaşaroğlu,Sarah Houbolt,Aamito Lagum,,,,,,,,,,,,,,,,,,,,,,,,,,,Alithea Binnie,The Djinn,Professor Günhan,Seyda,Young Zefir,,,,,,,,,,,,,,,,,,,,,,,,,,,66a2072e519ff3d289917bfc,66a2072e519ff3d289917bfd,66a2072e519ff3d289917bfe,66a2072e519ff3d289917bff,66a2072e519ff3d289917c00,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/threethousandyears-poster.jpg,true,0,threethousandyears-poster.jpg,English,,,,,,,,
66a2074a519ff3d289917c02,Andhadhun,"A series of mysterious events changes the life of a blind pianist, who must now report a crime that he should technically know nothing of.",2018-10-05T00:00:00.000Z,"Crime, Thriller, Comedy",Sriram Raghavan,0,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,Zakir Hussain,,,,,,,,,,,,,,,,,,,,,,,,,,,Role 1,Role 2,Role 3,Role 4,Role 5,,,,,,,,,,,,,,,,,,,,,,,,,,,66a2074a519ff3d289917c03,66a2074a519ff3d289917c04,66a2074a519ff3d289917c05,66a2074a519ff3d289917c06,66a2074a519ff3d289917c07,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/1735896480576-andhadhun-poster.jpg,false,0,,Hindi,https://moviu.s3.us-east-1.amazonaws.com/movies/1735898257493-andhadhun-bnr.jpg,08:02,"Arijit Biswas, Yogesh Chandekar, Sriram Raghavan",,,,,
66a20789519ff3d289917c10,Dark,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",2017-12-01T00:00:00.000Z,"Crime, Drama, Mystery",Baran bo Odar,8.8,Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,Andreas Pietschmann,Jördis Triebel,,,,,,,,,,,,,,,,,,,,,,,,,,Jonas Kahnwald,Charlotte Doppler,Martha Nielsen,Hannah Kahnwald,The Stranger,Katharina Nielsen,,,,,,,,,,,,,,,,,,,,,,,,,,66a20789519ff3d289917c11,66a20789519ff3d289917c12,66a20789519ff3d289917c13,66a20789519ff3d289917c14,66a20789519ff3d289917c15,66a20789519ff3d289917c16,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/dark-poster.jpg,true,0,dark-poster.jpg,English,,,,,,,,
674479610d37dd31a8a7afd6,The Three-Body Problem,"A group of scientists uncovers an alien civilization's plans after receiving mysterious communications from space, leading to a struggle for humanity's survival.",2024-01-01T00:00:00.000Z,Science Fiction,David Benioff & D.B. Weiss,9.1,Eiza González,John Bradley,Liam Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ye Wenjie,Shi Qiang,Mike Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674479610d37dd31a8a7afd7,674479610d37dd31a8a7afd8,674479610d37dd31a8a7afd9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/3-body-problem.jpg,true,0,https://moviu.s3.us-east-1.amazonaws.com/movies/25-11-2024/3-body-problem.jpg,English,,,,,,,,
674479690d37dd31a8a7afdb,A Good Girl's Guide to Murder,"An aspiring journalist investigates a cold-case murder in her small town, unraveling shocking truths and dangerous secrets along the way.",2024-09-15T00:00:00.000Z,Mystery,Holly Jackson,8.7,Emma Myers,Louis Partridge,Millie Bobby Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pip Fitz-Amobi,Ravi Singh,Cara Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674479690d37dd31a8a7afdc,674479690d37dd31a8a7afdd,674479690d37dd31a8a7afde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/a-good-girls-guide-to-murder.jpg,true,0,https://moviu.s3.us-east-1.amazonaws.com/movies/25-11-2024/a-good-girls-guide-to-murder.jpg,English,,,,,,,,
674479720d37dd31a8a7afe0,Alexander: The Making of a God,"An epic tale of the rise of Alexander the Great, tracing his journey from a young Macedonian prince to a legendary conqueror and god-king.",2024-11-20T00:00:00.000Z,Historical Drama,Ridley Scott,8.9,Timothée Chalamet,Florence Pugh,Ralph Fiennes,Anya Taylor-Joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander the Great,Roxana,Philip II of Macedon,Olympias,,,,,,,,,,,,,,,,,,,,,,,,,,,,674479720d37dd31a8a7afe1,674479720d37dd31a8a7afe2,674479720d37dd31a8a7afe3,674479720d37dd31a8a7afe4,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/alexander-the-making-of-a-god.jpg,true,0,https://moviu.s3.us-east-1.amazonaws.com/movies/25-11-2024/alexander-the-making-of-a-god.jpg,English,,,,,,,,
6744797a0d37dd31a8a7afe6,Baby Reindeer,"A gripping and intense exploration of obsession and the dark consequences of an unsettling encounter, based on a true story.",2024-12-15T00:00:00.000Z,Drama,Richard Gadd,8.3,Andrew Scott,Jessica Barden,Phoebe Waller-Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard,Obsessed Woman,Friend of Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6744797a0d37dd31a8a7afe7,6744797a0d37dd31a8a7afe8,6744797a0d37dd31a8a7afe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/baby-reindeer.jpg,true,0,https://moviu.s3.us-east-1.amazonaws.com/movies/25-11-2024/baby-reindeer.jpg,English,,,,,,,,
674479820d37dd31a8a7afeb,Bad Monkey,"A dark comedy-drama following a former detective turned restaurant inspector, who stumbles upon a severed arm that unravels a bizarre criminal conspiracy in Florida.",2024-10-10T00:00:00.000Z,Dark Comedy-Drama,Bill Hader,8.5,Vince Vaughn,Anna Kendrick,J.K. Simmons,Zazie Beetz,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Yancy,Bonnie,Neville,Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,674479820d37dd31a8a7afec,674479820d37dd31a8a7afed,674479820d37dd31a8a7afee,674479820d37dd31a8a7afef,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/bad-monkey.jpg,true,0,https://moviu.s3.us-east-1.amazonaws.com/movies/25-11-2024/bad-monkey.jpg,English,,,,,,,,
674479890d37dd31a8a7aff1,Batman: Caped Crusader,"A gritty reimagining of the Dark Knight's early days, exploring his journey as a detective and protector of Gotham City.",2025-03-01T00:00:00.000Z,"Action, Crime, Superhero",Matt Reeves,9.2,Robert Pattinson,Zoë Kravitz,Jeffrey Wright,Paul Dano,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruce Wayne / Batman,Selina Kyle / Catwoman,James Gordon,Edward Nygma / The Riddler,,,,,,,,,,,,,,,,,,,,,,,,,,,,674479890d37dd31a8a7aff2,674479890d37dd31a8a7aff3,674479890d37dd31a8a7aff4,674479890d37dd31a8a7aff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/batman-caped-crusader.jpg,true,0,https://moviu.s3.us-east-1.amazonaws.com/movies/25-11-2024/batman-caped-crusader.jpg,English,,,,,,,,
674479910d37dd31a8a7aff7,Bodkin,"A dark comedy-thriller following a group of podcasters investigating a series of mysterious disappearances in a small Irish town, uncovering a web of secrets and lies.",2024-08-25T00:00:00.000Z,"Dark Comedy, Thriller",Jared Hess,8.4,Will Forte,Siobhán McSweeney,Chris O'Dowd,Aisling Bea,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilbert,Maeve,Conor,Eimear,,,,,,,,,,,,,,,,,,,,,,,,,,,,674479910d37dd31a8a7aff8,674479910d37dd31a8a7aff9,674479910d37dd31a8a7affa,674479910d37dd31a8a7affb,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/bodkin.jpg,true,0,https://moviu.s3.us-east-1.amazonaws.com/movies/25-11-2024/bodkin.jpg,English,,,,,,,,
674479970d37dd31a8a7affd,Constellation,A sci-fi drama following a woman on a perilous journey across the stars as she uncovers hidden truths about her family and humanity's future.,2025-01-15T00:00:00.000Z,"Science Fiction, Drama",Denis Villeneuve,9,Natalie Portman,Oscar Isaac,Zendaya,Idris Elba,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celeste,Elliot,Amara,Captain Thorne,,,,,,,,,,,,,,,,,,,,,,,,,,,,674479970d37dd31a8a7affe,674479970d37dd31a8a7afff,674479970d37dd31a8a7b000,674479970d37dd31a8a7b001,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://moviu.s3.us-east-1.amazonaws.com/movies/constellation.jpg,true,0,https://moviu.s3.us-east-1.amazonaws.com/movies/25-11-2024/constellation.jpg,English,,,,,,,,
